"trip_duration","distance_traveled","num_of_passengers","fare","tip","miscellaneous_fees","total_fare","surge_applied"
706,3.75,1,127.5,26,2.20000000000002,155.7,0
389,2,1,48.75,0,6,54.75,0
397,2.25,1,52.5,18,27,97.5,1
2079,7.5,1,165,22,27.125,214.125,1
493,2.09,1,52.5,12,10.2,74.7,0
353,1.64,1,45,15,13.125,73.125,0
71,0.08,1,22.5,0,6,28.5,0
737,3.23,1,75,0,13.5,88.5,0
702,2.64,1,71.25,16,9.95,97.2,0
772,3.64,1,75,15,26.85,116.85,1
484,4.65,1,75,17,9.7,101.7,0
1454,4.92,1,120,22,26.6,168.6,1
546,4.07,1,71.25,24,27.075,122.325,1
1072,5.87,1,112.5,22,27.125,161.625,1
1354,12.54,2,187.5,49,10.1,246.6,0
1002,3.75,1,90,8,26.125,124.125,1
1286,5.09,1,116.25,29,26.2,171.45,1
741,3.67,1,78.75,21,26.7,126.45,1
540,2.74,2,60,13,6.2,79.2,0
1513,6.44,1,135,32,26.95,193.95,1
608,2.2,1,60,13,6.2,79.2,0
583,2.51,1,60,24,33.675,117.675,1
464,2.4,1,75,15,2.7,92.7,0
476,1.43,2,48.75,0,13.5,62.25,0
862,3.75,2,86.25,17,26.575,129.825,1
461,1.98,1,56.25,19,5.675,80.925,0
601,2.2,1,63.75,0,6,69.75,0
1796,5.1,1,142.5,23,13.9,179.4,0
248,1.09,1,37.5,0,6,43.5,0
501,2.27,1,56.25,8,5.5,69.75,0
441,2.45,1,52.5,0,13.5,66,0
720,4.14,2,82.5,0,13.5,96,0
506,0.98,1,52.5,0,6,58.5,0
10,0.02,1,75,0,2.25,77.25,0
609,2.17,1,63.75,14,5.95,83.7,0
1125,4.28,1,105,26,26.95,157.95,1
629,2.88,5,67.5,0,9.75,77.25,0
556,1.27,1,52.5,12,5.69999999999999,70.2,0
382,1.71,2,48.75,12,9.44999999999999,70.2,0
754,7.53,1,116.25,22,30.875,169.125,1
287,1.51,1,41.25,8,26.125,75.375,1
53,0.32,1,22.5,0,9.75,32.25,0
835,2.7,1,71.25,0,13.5,84.75,0
657,3.6,1,75,16,6.2,97.2,0
550,5.78,1,93.75,19,5.75,118.5,0
626,2.2,6,63.75,14,5.95,83.7,0
1340,11.3,1,180,48,58.65,286.65,0
765,4.55,5,86.25,0,9.75,96,0
79765,1.96,1,45,8,10,63,0
1380,10.91,1,165,46,62.15,273.15,0
1305,15.13,1,213.75,37,34.25,285,1
389,3.62,1,180,1539,1.875,1720.875,0
299,1.72,1,41.25,15,9.75,66,0
501,1.93,1,52.5,0,9.75000000000001,62.25,0
1049,4.52,1,101.25,15,34.125,150.375,1
676,6.57,1,150,15,2.25,167.25,0
855,2.67,1,78.75,23,13.6,115.35,0
876,3.86,1,86.25,0,13.5,99.75,0
2348,7.82,1,195,0,6,201,0
1005,3.33,1,75,0,2.25,77.25,0
735,3.36,1,75,0,13.5,88.5,0
455,1.59,1,48.75,8,13,69.75,0
589,2.32,1,60,18,13.875,91.875,0
789,4.06,1,82.5,0,6,88.5,0
1228,3.83,1,105,0,6,111,0
3119,34.07,1,390,0,88.875,478.875,0
197,0.87,1,33.75,8,33.625,75.375,1
613,1.93,1,60,0,6,66,0
433,1.61,2,48.75,16,6.125,70.875,0
1004,3.46,1,93.75,24,26.7,144.45,1
380,2.51,1,52.5,0,13.5,66,0
79,0.35,1,150,0,2.25,152.25,0
1016,4.62,1,97.5,0,9.75,107.25,0
331,1.83,1,48.75,0,9.75,58.5,0
168,0.8,1,30,0,6,36,0
1443,9.01,1,157.5,0,26.625,184.125,1
961,9.58,1,150,22,27.125,199.125,1
846,4.12,6,90,24,6,120,0
1427,7.66,1,153.75,0,6,159.75,0
970,2.57,2,82.5,0,6,88.5,0
353,1.77,1,45,10,6.125,61.125,0
376,1.72,1,45,10,6.2,61.2,0
4370,22.34,1,401.25,75,26.625,502.875,1
1483,10.86,1,176.25,0,6,182.25,0
1309,12.23,1,183.75,15,58.875,257.625,0
977,4.76,5,97.5,0,26.625,124.125,1
693,2.96,1,71.25,0,6,77.25,0
1303,14.18,1,195,56,30.7,281.7,1
1046,3.8,1,93.75,15,34.125,142.875,1
969,2.86,6,90,23,26.95,139.95,1
263,1.48,1,41.25,9,6.45,56.7,0
48682,4.78,1,93.75,0,6,99.75,0
546,2.51,1,60,0,6,66,0
534,2.9,1,63.75,15,13.875,92.625,0
1359,16.9,1,225,46,6.125,277.125,0
1367,6.42,5,135,42,34.425,211.425,1
1144,6.12,1,120,27,13.2,160.2,0
432,1.71,5,48.75,8,6.25,63,0
609,2.03,1,60,13,6.2,79.2,0
1333,5.36,1,120,0,6,126,0
1855,8.42,1,168.75,0,9.75,178.5,0
741,3.52,1,82.5,1,5.825,89.325,0
537,1.85,1,56.25,25,26.525,107.775,1
205,1.16,1,33.75,0,9.75,43.5,0
2032,11.43,1,206.25,34,33.875,274.125,1
484,0.89,1,37.5,22,14,73.5,0
1852,9.98,1,187.5,0,9.75,197.25,0
243,1.66,1,41.25,8,9.25,58.5,0
78982,2.53,1,63.75,0,6,69.75,0
632,2.11,1,63.75,22,6.5,92.25,0
622,3.2,1,67.5,16,13.7,97.2,0
603,2.14,1,60,13,6.2,79.2,0
573,1.77,1,60,0,6,66,0
455,1.51,1,90,0,2.25,92.25,0
536,2.06,1,56.25,0,6.00000000000001,62.25,0
2772,20.55,1,318.75,0,6,324.75,0
339,0.95,1,41.25,15,6.00000000000001,62.25,0
1063,10.43,1,153.75,42,13.35,209.1,0
527,3.64,1,67.5,0,6,73.5,0
831,4.18,1,86.25,22,27.125,135.375,1
793,4.91,1,90,0,9.75,99.75,0
810,3.04,1,78.75,17,5.95,101.7,0
910,4.22,1,90,20,9.7,119.7,0
491,2.57,1,56.25,0,6.00000000000001,62.25,0
1100,6.34,1,112.5,0,26.625,139.125,1
577,7.45,1,108.75,23,5.94999999999999,137.7,0
1482,9.64,1,168.75,59,26.275,254.025,1
1014,8.24,1,135,0,6,141,0
1790,7.34,1,153.75,0,6,159.75,0
3665,28.55,1,412.5,0,6,418.5,0
520,4.23,2,150,30,2.69999999999999,182.7,0
960,4.44,1,93.75,0,6,99.75,0
720,2.03,1,71.25,0,6,77.25,0
822,13.31,2,300,91,1.92500000000001,392.925,0
199,0.58,1,30,0,26.625,56.625,1
636,4.44,1,82.5,22,26.45,130.95,1
484,2.09,1,56.25,12,6.45,74.7,0
229,0.97,1,33.75,0,6,39.75,0
674,1.83,1,63.75,0,13.5,77.25,0
647,6.34,1,101.25,23,13.45,137.7,0
2178,22.66,1,311.25,63,6.44999999999999,380.7,0
1444,12.15,1,191.25,15,9.75,216,0
620,1.22,1,112.5,0,2.25,114.75,0
323,1.63,1,45,15,30.45,90.45,1
785,3.94,1,78.75,8,5.5,92.25,0
269,1.69,1,41.25,0,6,47.25,0
2081,8.13,1,176.25,15,9.75,201,0
974,3.85,2,93.75,26,33.7,153.45,1
1136,5.55,1,108.75,24,13.95,146.7,0
619,2.41,1,60,0,6,66,0
1191,5.12,1,108.75,0,13.5,122.25,0
743,7.95,1,195,22,2.75,219.75,0
945,2.72,1,78.75,21,26.7,126.45,1
487,4.22,1,71.25,29,27.025,127.275,1
246,1.09,2,33.75,0,9.75,43.5,0
1372,1.58,1,105,0,6,111,0
1693,7.19,1,157.5,0,26.625,184.125,1
343,1.95,5,48.75,11,5.95,65.7,0
1609,8.72,2,161.25,0,6,167.25,0
411,1.87,1,48.75,0,6,54.75,0
891,5.02,1,97.5,25,26.45,148.95,1
490,2.9,1,63.75,19,30.125,112.875,1
324,2.17,1,48.75,16,6.425,71.175,0
784,2.74,1,75,16,6.2,97.2,0
460,2.77,1,60,16,6.5,82.5,0
48,0.56,1,22.5,0,6,28.5,0
977,6.28,1,116.25,45,6,167.25,0
912,2.74,1,82.5,0,6,88.5,0
483,3.38,1,63.75,18,26.7,108.45,1
290,1.21,1,37.5,7,9.8,54.3,0
913,5.38,1,101.25,0,6,107.25,0
713,2.67,4,71.25,0,9.75,81,0
796,5.46,1,97.5,21,5.7,124.2,0
213,0.79,1,33.75,0,6,39.75,0
1465,13.34,1,202.5,0,6,208.5,0
746,2.33,1,71.25,25,13.925,110.175,0
849,4.18,1,86.25,48,76.125,210.375,1
1126,4.67,1,105,28,33.95,166.95,1
710,3.54,1,75,15,26.85,116.85,1
529,3.7,1,71.25,0,9.75,81,0
535,2.54,2,60,0,6,66,0
659,2.59,1,67.5,0,6,73.5,0
1229,5.13,1,112.5,42,26.325,180.825,1
423,1.93,1,52.5,1,5.6,59.1,0
387,2.06,1,48.75,11,5.95,65.7,0
552,2.98,1,63.75,0,34.125,97.875,1
1087,5.26,1,105,26,26.95,157.95,1
296,2.22,6,45,14,9.39999999999999,68.4,0
27,0.02,1,18.75,0,13.5,32.25,0
193,1.8,1,37.5,8,5.5,51,0
929,4.31,1,93.75,25,5.90000000000001,124.65,0
237,1.17,2,112.5,15,2.25,129.75,0
516,2.29,1,56.25,14,13.45,83.7,0
595,2.17,1,60,0,2.25000000000001,62.25,0
382,1.77,1,45,0,6,51,0
233,1.38,1,37.5,0,6,43.5,0
916,3.2,1,82.5,0,26.625,109.125,1
710,2.49,1,67.5,0,9.75,77.25,0
767,2.88,1,71.25,0,6,77.25,0
622,2.74,1,63.75,14,5.95,83.7,0
695,2.61,1,67.5,0,6,73.5,0
401,1.42,1,48.75,8,5.50000000000001,62.25,0
7,0.02,1,18.75,0,6,24.75,0
852,6.53,1,105,27,30.45,162.45,1
898,3.38,1,78.75,0,13.5,92.25,0
769,2.9,1,75,16,6.125,97.125,0
