"Distance_Metric","K_value","Accuracy","Recall"
"Max Dimensional Distance",1,0.645059786028949,0.347319347319347
"Max Dimensional Distance",2,0.706104468219006,0.149184149184149
"Max Dimensional Distance",3,0.672750157331655,0.321678321678322
"Max Dimensional Distance",4,0.706733794839522,0.167832167832168
"Max Dimensional Distance",5,0.697923222152297,0.312354312354312
"Max Dimensional Distance",6,0.715544367526746,0.191142191142191
"Max Dimensional Distance",7,0.700440528634361,0.286713286713287
"Max Dimensional Distance",8,0.716803020767778,0.2004662004662
"Max Dimensional Distance",9,0.709251101321586,0.284382284382284
"Max Dimensional Distance",10,0.721208307111391,0.198135198135198
"Max Dimensional Distance",11,0.720578980490875,0.300699300699301
"Max Dimensional Distance",12,0.722466960352423,0.214452214452214
"Max Dimensional Distance",13,0.713656387665198,0.27972027972028
"Max Dimensional Distance",14,0.724984266834487,0.214452214452214
"Max Dimensional Distance",15,0.715544367526746,0.277389277389277
"Max Dimensional Distance",16,0.713656387665198,0.179487179487179
"Max Dimensional Distance",17,0.707992448080554,0.251748251748252
"Max Dimensional Distance",18,0.71491504090623,0.191142191142191
"Max Dimensional Distance",19,0.713656387665198,0.242424242424242
"Max Dimensional Distance",20,0.719320327249843,0.193473193473193
